iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
0,740677,740677,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.22,True
1,740677,750677,saajna,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.14,True
2,740677,760677,saajna,True,Introducing iPhone 15  WOW  Apple-enc,0.12,True
0,811824,811824,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.09,True
1,811824,821824,saajna,True,Furlenco presents the Home Sapiens-enc,0.07,True
2,811824,831824,saajna,True,Be Extraordinary Everyday With Myntra-enc,0.06,True
0,759079,759079,saajna,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.12,True
1,759079,769079,saajna,True,Furlenco presents the Home Sapiens-enc,0.09,True
2,759079,779079,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.21,True
0,48241,48241,Play it different  ft. Ravi Shastri  CRED-enc,False,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.07,False
1,48241,58241,Play it different  ft. Ravi Shastri  CRED-enc,False,Play it different  ft. Ravi Shastri  CRED-enc,0.06,True
2,48241,68241,juice_wrld,True,Introducing iPhone 15  WOW  Apple-enc,0.1,True
0,611035,611035,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.12,False
1,611035,621035,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.09,True
2,611035,631035,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.1,True
0,340935,340935,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.12,True
1,340935,350935,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.12,True
2,340935,360935,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.14,True
0,599663,599663,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.1,True
1,599663,609663,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.11,True
2,599663,619663,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.11,True
0,350746,350746,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.13,True
1,350746,360746,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.12,True
2,350746,370746,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.13,True
0,173720,173720,juice_wrld,True,No geometry box_ No problem for #SuperPapa!-enc,0.04,True
1,173720,183720,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief-enc,0.19,True
2,173720,193720,juice_wrld,True,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.08,True
0,607854,607854,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.11,True
1,607854,617854,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.12,True
