iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
0,755056,755056,saajna,True,Urban Company  Salon at Home,0.05,True
1,755056,765056,saajna,True,Be Extraordinary Everyday With Myntra,0.05,True
2,755056,775056,saajna,True,Introducing iPhone 15  WOW  Apple,0.07,True
0,97440,97440,juice_wrld,True,Be Extraordinary Everyday With Myntra,0.04,True
1,97440,107440,juice_wrld,True,walmart,0.03,True
2,97440,117440,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
0,210780,210780,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
1,210780,220780,juice_wrld,True,subway,0.06,True
2,210780,230780,juice_wrld,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.05,True
0,263199,263199,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.02,True
1,263199,273199,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.05,False
2,263199,283199,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.12,False
0,584309,584309,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.08,False
1,584309,594309,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.11,False
2,584309,604309,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.09,False
0,362987,362987,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.09,False
1,362987,372987,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.09,False
2,362987,382987,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
0,23439,23439,subway-enc,False,subway,0.09,False
1,23439,33439,subway-enc,False,subway,0.08,False
2,23439,43439,Play it different  ft. Ravi Shastri  CRED-enc,False,subway,0.06,False
0,558125,558125,Introducing iPhone 15  WOW  Apple-enc,False,Furlenco presents the Home Sapiens,0.06,False
1,558125,568125,Introducing iPhone 15  WOW  Apple-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.06,False
2,558125,578125,Introducing iPhone 15  WOW  Apple-enc,False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.06,False
0,431026,431026,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.09,False
1,431026,441026,Manyavar-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.05,False
2,431026,451026,Manyavar-enc,False,OnePlus 12 - Smooth Beyond Belief,0.09,False
0,481488,481488,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.1,False
1,481488,491488,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.09,False
2,481488,501488,Furlenco presents the Home Sapiens-enc,False,OnePlus 12 - Smooth Beyond Belief,0.11,False
0,602449,602449,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.11,False
1,602449,612449,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.07,False
2,602449,622449,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.08,False
0,165238,165238,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
1,165238,175238,juice_wrld,True,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.03,True
2,165238,185238,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief,0.1,True
0,288490,288490,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.12,False
1,288490,298490,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.14,False
2,288490,308490,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.1,False
0,26538,26538,subway-enc,False,subway,0.11,False
1,26538,36538,subway-enc,False,subway,0.1,False
2,26538,46538,Play it different  ft. Ravi Shastri  CRED-enc,False,Play it different  ft. Ravi Shastri  CRED,0.04,False
0,615777,615777,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.12,False
1,615777,625777,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Introducing iPhone 15  WOW  Apple,0.07,False
2,615777,635777,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.09,False
0,184132,184132,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.07,True
1,184132,194132,juice_wrld,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.03,True
2,184132,204132,juice_wrld,True,Furlenco presents the Home Sapiens,0.05,True
0,123682,123682,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.1,True
1,123682,133682,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
2,123682,143682,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief,0.11,True
0,448309,448309,Manyavar-enc,False,Be Extraordinary Everyday With Myntra,0.04,False
1,448309,458309,Manyavar-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.06,False
2,448309,468309,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.1,False
0,435139,435139,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.06,False
1,435139,445139,Manyavar-enc,False,Introducing iPhone 15  WOW  Apple,0.06,False
2,435139,455139,Manyavar-enc,False,Introducing iPhone 15  WOW  Apple,0.06,False
0,44638,44638,Play it different  ft. Ravi Shastri  CRED-enc,False,Play it different  ft. Ravi Shastri  CRED,0.04,False
1,44638,54638,Play it different  ft. Ravi Shastri  CRED-enc,False,Play it different  ft. Ravi Shastri  CRED,0.08,False
2,44638,64638,juice_wrld,True,Play it different  ft. Ravi Shastri  CRED,0.02,True
0,435774,435774,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.07,False
1,435774,445774,Manyavar-enc,False,Myntra x Kiara Advani (Flight),0.04,False
2,435774,455774,Manyavar-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.05,False
0,549497,549497,Introducing iPhone 15  WOW  Apple-enc,False,Introducing iPhone 15  WOW  Apple,0.1,False
