iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
0,799885,799885,saajna,True,Introducing iPhone 15  WOW  Apple-enc,0.05,True
1,799885,804885,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.02,True
2,799885,809885,saajna,True,No geometry box_ No problem for #SuperPapa!-enc,0.01,True
3,799885,814885,saajna,True,Furlenco presents the Home Sapiens-enc,0.02,True
4,799885,819885,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
5,799885,824885,saajna,True,Furlenco presents the Home Sapiens-enc,0.02,True
0,615787,615787,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.08,False
1,615787,620787,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.05,True
2,615787,625787,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.06,True
3,615787,630787,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.02,True
4,615787,635787,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.03,True
5,615787,640787,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.05,True
0,722150,722150,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.05,True
1,722150,727150,saajna,True,subway-enc,0.01,True
2,722150,732150,saajna,True,Be Extraordinary Everyday With Myntra-enc,0.01,True
3,722150,737150,saajna,True,Be Extraordinary Everyday With Myntra-enc,0.02,True
4,722150,742150,saajna,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.01,True
5,722150,747150,saajna,True,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.01,True
0,212757,212757,juice_wrld,True,Play it different  CRED-enc,0.02,True
